10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | The weather changed into: Bad
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Nose took stess damage
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Pilot took stess damage
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Middle took stess damage
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Tail took stess damage
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Starboard took stess damage
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Fw 190 comes into view 9:00 o'clock Low
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Me 109 comes into view 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Me 109 comes into view 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Fw 190 comes into view 9:00 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Low
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Ball is targeting: Fw 190 9:00 o'clock Low
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port is targeting: Fw 190 9:00 o'clock Low
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Navigator is targeting: Me 109 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Engineer is targeting: Me 109 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port is targeting: Me 109 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Navigator is targeting: Me 109 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Engineer is targeting: Me 109 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port is targeting: Me 109 10:30 o'clock High
